title, authors, conference, number, location, start_date, end_date, presentation_date, type, review, url, extra
Bogoliubov Fermi 面を持つ系における奇周波数Cooper対, 三木健矢; 田村駿太; 飯村翔馬; 星野晋太郎, 日本物理学会2021年秋季大会, 23pH1-8, オンライン, 2021-09-20, 2021-09-23, 2021-09-23, oral, non_reviewed, https://w4.gakkai-web.net/jps_search/2021au
FeSeのバンド計算に基づいたBogoliubov Fermi 面に対する不純物効果, 三木健矢; 池田浩章; 星野晋太郎, 日本物理学会第77回年次大会, 15pGB41-1, オンライン, 2022-03-15, 2022-03-19, 2022-03-15, oral, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2022sp,
ボゴリウボフ・フェルミ面を持つ超伝導体界面の物理的性質, 三木健矢; 田仲由喜夫; 田村駿; 星野晋太郎, 日本物理学会2023年春季大会, 24pPSH-41, オンライン, 2023-03-22, 2023-03-25, 2023-03-24, poster, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2023sp,
Bogoliubov Fermi 面を持つ超伝導体界面の物理的性質, 三木健矢; 田仲由喜夫; 田村駿; 星野晋太郎, 日本物理学会第78回年次大会, 16aA401-5, 東北大, 2023-09-16, 2023-09-19, 2023-09-16, oral, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2023au,
Wannier関数を用いた固体におけるカイラリティの定量評価, 三木健矢, 物性科学における電子カイラリティの理論, 2日目　10:30-10:50, 立命館大, 2023-12-08, 2023-12-09, 2023-12-09, oral, non_reviewed, https://park.saitama-u.ac.jp/~hoshino/chiral20231208.html,
物理量に対する相対論効果のワニエ関数を用いた定量的評価, 三木健矢; 池田浩章; 鈴木通人; 星野晋太郎, 日本物理学会2024年春季大会, 20pH2-14, オンライン, 2024-03-18, 2024-03-21, 2024-03-20, oral, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2024sp,
固体中の電子カイラリティと実験的観測量の関係, 三木健矢, 電子カイラリティ・ワークショップ 2024, セッション１ 9:30-10:50, 京都大, 2024-6-14, 2024-6-14, 2024-6-14, oral, non_reviewed, https://park.saitama-u.ac.jp/~hoshino/chiral20240726.html,
相対論的量子力学に基づくポーラー・カイラル・アキシャル結晶の定量化, 三木健矢; 池田浩章; 鈴木通人; 星野晋太郎, 日本物理学会2024年年次大会, 18pE305-15, 北海道大, 2024-09-16, 2024-09-19, 2024-09-18, oral, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2024au,
原子極限における電子ヘリシティと電子相関, 三木健矢; 柿沼優汰; 鈴木通人; 池田浩章; 星野晋太郎, 日本物理学会2025年年次大会, 19aSK303-5, 広島大, 2025-09-16, 2025-09-19, 2025-09-19, oral, non_reviewed, https://onsite.gakkai-web.net/jps/jps_search/2025au/index.html,
原子極限における電子のカイラリティとヘリシティ, 三木健矢, 量子液晶概念を基盤とした新奇物性科学の若手学際研究, P9, 秋保温泉ホテル クレセント, 2025-11-18, 2025-11-19, 2025-11-18, poster, non_reviewed, https://sites.google.com/view/yamada-qlc-202511/home,
原子極限における電子のカイラリティとヘリシティ, 三木健矢, 第149回金属材料研究所講演会（2025年度秋季）, P01, 東北大学金属材料研究所（IMR）, 2025-11-27, 2025-11-27, 2025-11-27, poster, non_reviewed, https://www.imr.tohoku.ac.jp/kouenkai/archives/149.html,
First-principles evaluation of electronic asymmetries in solids, T. Miki, "Workshop on theory of cross correlations, multipoles, and computational material design 2025 Winter", 2日目 9:50-10:30, 御殿場時之栖, 2025-12-21, 2025-12-23, 2025-12-22, oral, non_reviewed, https://asymmetry.hiroshima-u.ac.jp/event/3193,
Electronic chirality and helicity in atomic limit, T. Miki, "Workshop on theory of cross correlations, multipoles, and computational material design 2025 Winter", P2, 御殿場時之栖, 2025-12-21, 2025-12-23, 2025-12-22, poster, non_reviewed, https://asymmetry.hiroshima-u.ac.jp/event/3193,
第一原理計算を用いた電子の非対称性の定量評価, 三木健矢, 令和7年度 領域全体会議・成果報告会, P36, 名古屋工大, 2026-01-06, 2026-01-08, 2026-01-07, poster, non_reviewed, https://asymmetry.hiroshima-u.ac.jp/event/3097,
電子の非対称性と第一原理計算による定量評価, 三木健矢, 第10回「凝縮系理論の最前線」, 2日目　15:20-16:00, 湯河原, 2026-02-17, 2026-02-19, 2026-02-18, oral, non_reviewed, https://sites.google.com/view/10th-cmworkshop,
