title, authors, conference, number, location, start_date, end_date, presentation_date, type, review, url, extra
Odd-frequency pairing inherent in a Bogoliubov Fermi liquid, T. Miki; S.-T. Tamura; S. Iimura; S. Hoshino, International Conference on Quantum Liquid Crystals 2021 (QLC2021), PS1-13, Online, 2021-05-11, 2021-05-13, 2021-05-11, poster, non_reviewed, https://qlc.jp/en/2020/11/26/qlc2021, 
Odd-frequency pairing in the system with Bogoliubov Fermi surface, T. Miki; H. Ikeda; S. Hoshino, International Conference on Strongly Correlated Electron Systems (SCES2022), 173, The Netherlands, 2022-07-24, 2022-07-29, 2022-07-26, poster, reviewed, https://www.sces2022.org,
Odd-frequency pairing in the system with Bogoliubov Fermi surface, T. Miki; H. Ikeda; S. Hoshino, 29th International Conference on Low Temperature Physics (LT29), P22-SF2A-13, Hokkaido, 2022-08-18, 2022-08-24, 2022-08-22, poster, reviewed, https://www.lt29.jp,
Physics of superconductor junctions with Bogoliubov Fermi surface, T. Miki; Y. Tanaka; S. Tamura; S. Hoshino, International Conference on Strongly Correlated Electron Systems (SCES2023), 8-0836, Korea, 2023-07-02, 2023-07-7, 2023-07-4, poster, reviewed, https://www.sces2023.org,
Physics of superconductor junction with Bogoliubov Fermi surface, T. Miki; Y. Tanaka; S. Tamura; S. Hoshino, International Conference on Quantum Liquid Crystals 2023 (QLC2023), PS2-30, Hokkaido University, 2023-08-08, 2023-08-10, 2023-08-09, poster, non_reviewed, https://qlc.jp/2022/11/22/qlc2023,
Toward first principles calculation of higher-order relativistic corrections in transport phenomena, T. Miki; H. Ikeda; M.-T. Suzuki; S. Hoshino, Trends in the Theory of Quantum Materials 2023 (TTQM2023), P27, The Institute for Solid State Physics (ISSP), 2023-10-15, 2023-10-18, 2023-10-16, poster, non_reviewed, https://oshikawa-group.github.io/ttqm2023, dead link
Quantitative evaluation of relativistic effects on physical quantities using Wannier function, T. Miki, Second Workshop on Fundamentals in Density Functional Theory (DFT2024), Workshop Session 3-3, RIKEN Kobe Campus, 2024-02-20, 2024-02-22, 2024-02-21, oral, non_reviewed, https://ribf.riken.jp/~tnaito/workshop/202402_dft2024,
Quantitative evaluation of relativistic effects on physical quantities using Wannier function, T. Miki; H. Ikeda; M.-T. Suzuki; S. Hoshino, International Conference on Magnetism (ICM2024), 1.08_480, Italy, 2024-06-30, 2024-07-05, 2024-07-03, poster, reviewed, https://www.icm2024.org,
Quantification of electronic asymmetry: chirality and axiality in solids, T. Miki; H. Ikeda; M.-T. Suzuki; S. Hoshino, 30th International Conference on Low Temperature Physics (LT30), PC3-P71-11, Spain, 2025-08-07, 2025-08-14, 2025-08-11, poster, reviewed, https://www.lt30.es,
Electronic helicity and correlation in atomic limit, T. Miki; Y. Kakinuma; M. Senami; M. Fukuda; M.-T. Suzuki; H. Ikeda; S. Hoshino, Trends in the Theory of Quantum Materials 2025 (TTQM2025), P19, Saitama University, 2025-10-20, 2025-10-22, 2025-10-20, poster, non_reviewed, https://shinaoka.github.io/TTQM2025,
